lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2019_2,13464939.964685384,2673478.2695168457,case,降雨,闊葉樹林型,46.366,22
2019_3,13468291.6934555,2670870.545580925,case,降雨,闊葉樹林型,44.519,23
2019_4,13450508.626281949,2667780.523547376,case,降雨,__NONFOREST__,40.609,10
2019_5,13482802.103811711,2661195.31183437,case,降雨,闊葉樹林型,38.979,18
2019_6,13493765.642841827,2659446.655690006,case,降雨,待成林地,29.702,13
2019_7,13476017.687728478,2635820.171312572,case,降雨,闊葉樹林型,41.071,8
2019_8,13471030.622113662,2634740.992090788,case,降雨,__NONFOREST__,50.146,0
2019_9,13458960.212229168,2619423.6661339146,case,降雨,闊葉樹林型,34.7,12
2019_10,13456730.870468982,2614727.4814656945,case,降雨,闊葉樹林型,40.377,21
2019_11,13462612.102248188,2615376.4069365286,case,降雨,針闊葉樹混淆,47.891,0
2019_12,13462919.972513411,2613968.695711404,case,降雨,闊葉樹林型,38.443,15
2019_13,13504736.39716295,2833540.873903348,case,降雨,竹林,38.042,7
2019_14,13497747.18976057,2764840.094422529,case,降雨,闊葉樹林型,34.789,17
2019_15,13436231.541293483,2647604.6979888724,case,降雨,闊葉樹林型,45.501,5
2019_16,13519422.469757512,2810472.465104145,case,混合,闊葉樹林型,52.184,13
2019_17,13519235.48070006,2810828.810326888,case,混合,闊葉樹林型,59.112,17
2019_18,13533632.193893109,2802401.425759885,case,混合,闊葉樹林型,55.523,11
2019_19,13508749.63483282,2759433.280681629,case,降雨,闊葉樹林型,48.619,2
2019_20,13491883.21852976,2678189.802698329,case,降雨,闊葉樹林型,59.308,8
2019_21,13516972.984631652,2758769.854714712,case,降雨,闊葉樹林型,49.702,13
2019_22,13502900.77926514,2730065.153608163,case,降雨,闊葉樹林型,48.978,6
2019_23,13452433.597841872,2667177.1086467714,case,降雨,闊葉樹林型,29.46,1
2019_24,13451099.856748125,2658548.467575099,case,降雨,__NONFOREST__,39.447,0
2019_25,13479686.73436538,2646076.2010558248,case,降雨,闊葉樹林型,51.855,3
2019_26,13470648.13661324,2645592.4934458407,case,降雨,闊葉樹林型,48.506,13
2019_27,13470635.526417583,2645903.2507994864,case,降雨,闊葉樹林型,51.778,13
2019_28,13454315.943054851,2645150.457433905,case,降雨,闊葉樹林型,40.579,26
2019_29,13463030.422443056,2638798.619733853,case,降雨,針葉樹林型,48.938,15
2019_30,13443463.395319255,2613967.2195953657,case,降雨,闊葉樹林型,36.788,8
2019_31,13453746.621289708,2614466.6348659648,case,降雨,針葉樹林型,36.326,12
2019_32,13454282.682668712,2614725.7412856,case,降雨,針闊葉樹混淆,52.524,5
2019_33,13455909.719753925,2615378.705631171,case,降雨,闊葉樹林型,49.766,7
