pid,event,x,y,row,col,slope,north,east,planc,profc,elev,TypeName
2018_5,0613暨0619豪雨,241860.0,2586480.0,10762,4677,39.15678321830469,0.9517086177605509,-0.3070027799227584,-0.00674363807728558,-0.009243638077285577,2021.0,闊葉樹林型
2018_6,瑪莉亞颱風,283960.0,2609980.0,9587,6782,57.416492700227856,0.22369241071888074,0.9746597895608372,-0.004869798315037018,-0.027369798315037015,735.0,闊葉樹林型
2018_7,0823熱帶低壓,219660.0,2450320.0,17570,3567,35.59853666783391,-0.20952908873087356,0.9778024140774094,-0.012951219512195121,0.017048780487804876,157.0,闊葉樹林型
2018_8,0823熱帶低壓,219600.0,2450320.0,17570,3564,35.28126182726603,-0.5299989400031799,0.847998304005088,-0.002134831460674158,-0.024634831460674158,133.0,闊葉樹林型
2018_9,0823熱帶低壓,219400.0,2450060.0,17583,3554,14.103462835639398,-0.9950371902099892,-0.09950371902099886,0.011485148514851485,-0.011014851485148514,51.0,闊葉樹林型
2018_10,0823熱帶低壓,219540.0,2450240.0,17574,3561,31.181735757915714,-0.6196442885790208,-0.7848827655334262,-0.008163395904436863,0.00683660409556314,121.0,闊葉樹林型
2018_11,0823熱帶低壓,297960.0,2718240.0,4174,7482,46.42958537828381,-0.9037378388935388,0.42808634473904456,0.004618212669683258,0.004618212669683258,515.0,闊葉樹林型
2018_12,0823熱帶低壓,253460.0,2540700.0,13051,5257,46.502221209381986,0.9251686183747458,-0.379556356256306,-0.007110298255486779,0.030389701744513224,1616.0,闊葉樹林型
2018_13,0823熱帶低壓,205020.0,2554100.0,12381,2835,20.26014116551069,-0.8804710999221753,-0.4740998230350174,-0.005934633027522936,0.009065366972477062,431.0,竹林
2018_14,0823熱帶低壓,210400.0,2561940.0,11989,3104,5.885129333686066,-0.9701425001453319,0.24253562503633316,-0.019117647058823527,0.008382352941176471,913.0,竹闊混淆林
2018_15,0823熱帶低壓,222220.0,2561740.0,11999,3695,36.885169224775694,-0.4997224534895773,-0.8661855860486004,-0.002583240843507214,0.004916759156492785,983.0,闊葉樹林型
2018_16,0823熱帶低壓,232300.0,2560800.0,12046,4199,48.54094084514288,0.507985019944294,0.861365903383803,0.028271951219512193,-0.006728048780487803,1813.0,闊葉樹林型
2018_17,0823熱帶低壓,217560.0,2568860.0,11643,3462,27.484186071108013,0.8169678632647617,-0.5766831975986553,-0.026928406466512705,0.020571593533487295,741.0,闊葉樹林型
2018_18,0823熱帶低壓,217220.0,2569020.0,11635,3445,43.59051881270964,0.9716676031619469,-0.2363515791475006,0.019478448275862068,-0.035521551724137936,863.0,闊葉樹林型
2018_19,0823熱帶低壓,217300.0,2569160.0,11628,3449,62.411584601462906,0.8360479108370626,-0.5486564414868224,-0.11935153583617748,0.15064846416382255,836.0,闊葉樹林型
2018_20,0823熱帶低壓,217080.0,2569300.0,11621,3438,20.387669768422825,0.9417419115948374,0.33633639699815626,0.017194570135746608,-0.000305429864253393,853.0,闊葉樹林型
2018_21,0823熱帶低壓,210560.0,2576780.0,11247,3112,26.217612768234883,-0.913811548620257,0.4061384660534478,0.0023195876288659794,0.01231958762886598,675.0,竹闊混淆林
2018_22,0823熱帶低壓,237100.0,2572220.0,11475,4439,46.01070199822306,0.9411946707617074,0.3378647536067667,0.015013104251601631,-0.02248689574839837,1882.0,
2018_23,0823熱帶低壓,212740.0,2579200.0,11126,3221,67.76933670539704,-0.13283298616460334,0.9911384352281947,0.018087022342869075,0.04308702234286908,663.0,待成林地
2018_24,0823熱帶低壓,212380.0,2578940.0,11139,3203,45.01789374866915,-0.22485950669875834,0.9743911956946198,-0.007148876404494382,-0.012148876404494382,486.0,闊葉樹林型
2018_25,0823熱帶低壓,212340.0,2578420.0,11165,3201,17.183330483447964,-0.9701425001453319,-0.24253562503633316,-0.0014705882352941178,-0.003970588235294117,273.0,竹闊混淆林
2018_26,0823熱帶低壓,227860.0,2585480.0,10812,3977,49.05111016553776,-0.21693045781865608,0.9761870601839528,-8.823529411764705e-05,0.007411764705882352,1601.0,待成林地
2018_27,0823熱帶低壓,212360.0,2591620.0,10505,3202,18.445687755403306,-0.22485950669875834,-0.9743911956946198,-0.0099438202247191,0.010056179775280899,654.0,
2018_28,0823熱帶低壓,213300.0,2592040.0,10484,3249,23.132182561931252,-0.9363291775690444,-0.35112344158839176,0.005821917808219178,-0.014178082191780822,725.0,
2018_29,0823熱帶低壓,212920.0,2592140.0,10479,3230,27.017123217850244,-0.9805806756909202,0.19611613513818385,0.0017307692307692306,0.00673076923076923,587.0,
2018_30,0823熱帶低壓,212760.0,2591900.0,10491,3222,33.197229942878394,0.6877446479107832,-0.7259526839058266,-0.012923357664233578,0.014576642335766428,554.0,闊葉樹林型
2018_31,0823熱帶低壓,227060.0,2451460.0,17513,3937,19.827028653408167,0.5547001962252291,0.8320502943378437,-0.0009615384615384615,-0.010961538461538462,146.0,
2018_32,0823熱帶低壓,233000.0,2457960.0,17188,4234,23.132182561931252,-0.3511234415883916,-0.9363291775690445,0.0006164383561643834,-0.004383561643835617,304.0,闊葉樹林型
2018_33,0823熱帶低壓,232180.0,2474000.0,16386,4193,36.326005581723855,-0.30600918041312075,0.9520285612852643,-0.015861271676300578,0.0016387283236994224,293.0,闊葉樹林型
2018_34,0823熱帶低壓,216340.0,2475540.0,16309,3401,38.06176053983252,-0.9578262852211514,0.2873478855663452,-0.015366972477064221,0.0021330275229357798,437.0,闊葉樹林型
2018_35,0823熱帶低壓,214060.0,2488940.0,15639,3287,43.0478321430526,-0.9635179096299407,0.26764386378609467,-0.019283667621776506,0.010716332378223496,314.0,闊葉樹林型
2018_36,0823熱帶低壓,235920.0,2503500.0,14911,4380,25.034387530343444,-0.2676438637860945,0.9635179096299407,-0.010479942693409744,0.012020057306590257,1197.0,
2018_37,0823熱帶低壓,235440.0,2504840.0,14844,4356,37.790111559066204,0.9994801143396996,0.03224129401095805,-0.0074142411642411634,0.002585758835758836,1439.0,闊葉樹林型
2018_38,0823熱帶低壓,187500.0,2515860.0,14293,1959,28.63490403452203,0.9615239476408232,0.274721127897378,0.03042452830188679,-0.022075471698113205,99.0,闊葉樹林型
2018_39,0823熱帶低壓,226520.0,2509140.0,14629,3910,39.05065885812619,-0.5547001962252293,0.8320502943378436,0.005384615384615384,-0.017115384615384616,1131.0,闊葉樹林型
2018_40,0823熱帶低壓,244120.0,2515540.0,14309,4790,33.854514812620515,0.8944271909999159,0.4472135954999579,-0.014000000000000002,0.006,1235.0,闊葉樹林型
2018_41,0823熱帶低壓,250520.0,2523200.0,13926,5110,44.783515145502,0.7556890827898175,0.6549305384178419,-0.004092639593908629,0.0009073604060913707,813.0,闊葉樹林型
2018_42,0823熱帶低壓,254460.0,2530380.0,13567,5307,55.00671797528064,0.840039377768771,0.5425254314756647,-0.00953292496171516,-0.01203292496171516,561.0,
2018_43,0823熱帶低壓,241540.0,2528520.0,13660,4661,33.65076727448982,0.8262273428075477,0.5633368246415097,-0.012207334273624823,0.010292665726375176,1529.0,闊葉樹林型
2018_44,0823熱帶低壓,214240.0,2523960.0,13888,3296,7.667577242751909,0.9284766908852593,-0.3713906763541037,-0.007586206896551725,0.014913793103448274,465.0,
2018_45,0823熱帶低壓,211440.0,2535000.0,13336,3156,30.36043784504823,0.7682212795973759,0.6401843996644798,-0.008401639344262295,0.014098360655737706,282.0,竹林
2018_46,0823熱帶低壓,210160.0,2540300.0,13071,3092,31.50340488200827,0.20395425411200102,0.9789804197376051,-0.01189683860232945,0.01060316139767055,367.0,闊葉樹林型
2018_47,0909熱帶低壓,311600.0,2795200.0,326,8164,17.393118144442386,0.4788521306805732,-0.8778955729143844,-0.004410828025477706,-0.016910828025477706,111.0,闊葉樹林型
2018_51,0613暨0619豪雨暨瑪莉亞颱風,274700.0,2693600.0,5406,6319,44.563720855785085,0.9138115486202572,0.4061384660534476,0.00036082474226804123,-0.004639175257731959,2401.0,針闊葉樹混淆
2018_52,0613暨0619豪雨暨瑪莉亞颱風,279260.0,2685660.0,5803,6547,47.13939561888404,-0.06959826284903871,-0.9975751008362208,-0.011979278794402585,0.013020721205597417,1873.0,闊葉樹林型
2018_53,0613暨0619豪雨暨瑪莉亞颱風,270280.0,2678520.0,6160,6098,46.702022196481344,0.9658428372346682,0.25912856608735,-0.01377427857935627,0.01622572142064373,1693.0,闊葉樹林型
2018_54,0613暨0619豪雨暨瑪莉亞颱風,278720.0,2645860.0,7793,6520,23.273326481355983,0.813733471206735,0.5812381937190965,-0.005439189189189189,0.004560810810810811,2789.0,
2018_55,0613暨0619豪雨暨瑪莉亞颱風,252740.0,2555860.0,12293,5221,38.71430174309542,0.9980525784828885,0.06237828615518053,-0.005058365758754864,-5.836575875486381e-05,2003.0,闊葉樹林型
2018_56,0613暨0619豪雨暨瑪莉亞颱風,253220.0,2545380.0,12817,5245,59.76199966701495,0.6849100087678869,-0.7286276689020073,-0.0025748566574644296,-7.485665746442953e-05,1548.0,闊葉樹林型
2018_57,0613暨0619豪雨暨瑪莉亞颱風,246100.0,2552120.0,12480,4889,63.328672455564075,0.9920834726874991,-0.12558018641613913,0.010173474215423434,0.09767347421542345,1786.0,闊葉樹林型
2018_58,0613暨0619豪雨暨瑪莉亞颱風,245900.0,2552080.0,12482,4879,48.754184658909786,0.8987684456438996,-0.4384236320214145,-0.09744113407015859,0.020058865929841425,2004.0,闊葉樹林型
2018_59,0613暨0619豪雨暨瑪莉亞颱風,249160.0,2535680.0,13302,5042,55.06838501418511,0.9778024140774095,-0.20952908873087348,-0.023341463414634146,0.02165853658536585,1825.0,闊葉樹林型
