case,ft,slope,north,east,planc,profc,elev,slope2,lid,year,x,y,event,area_ha,kind,key,bg_lid,MajorTreeI,SlaveTreeI,form
1.0,竹林,43.57077227020226,0.0525588331227637,-0.9986178293325098,0.0003936464088397,0.0003936464088397,596.0,1898.4121962218264,2021_181,2021.0,219848.19,2534559.41,0731豪雨暨盧碧颱風,0.18,case,2021_181,,C800,B600,單桿狀竹(running)
1.0,竹林,47.988906399374976,0.8106792283998809,-0.5854905538443584,0.0092190669371196,0.0042190669371196,533.0,2302.9351374079724,2021_203,2021.0,214751.71,2575882.14,0731豪雨暨盧碧颱風,0.82,case,2021_203,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,37.410672491183874,-0.9805806756909202,0.1961161351381838,0.01875,-0.00125,650.0,1399.558416242622,2021_205,2021.0,214319.13,2573628.18,0731豪雨暨盧碧颱風,0.22,case,2021_205,,C800,B600,單桿狀竹(running)
1.0,竹林,44.783515145502,0.6549305384178419,-0.7556890827898176,0.0250031725888324,-0.0099968274111675,555.0,2005.563228787407,2021_215,2021.0,218353.04,2567333.66,0731豪雨暨盧碧颱風,0.19,case,2021_215,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,30.269155243344123,0.9852117548196744,-0.1713411747512477,-0.0064036697247706,0.0010963302752293,542.0,916.221759145667,2021_218,2021.0,218055.45,2568738.96,0731豪雨暨盧碧颱風,0.61,case,2021_218,,B600,C700,B600
1.0,竹闊混淆林,38.453757061620536,-0.472221412515419,-0.881479970028782,-0.0049355797819623,0.0125644202180376,574.0,1478.6914321541312,2021_328,2021.0,214326.11,2528691.59,0731豪雨暨盧碧颱風,0.16,case,2021_328,,B600,C700,B600
1.0,竹林,17.393118144442386,-0.8778955729143844,0.4788521306805732,-0.0035350318471337,-0.0110350318471337,375.0,302.52055878653096,2022_5,2022.0,288488.37,2742567.21,軒嵐諾暨梅花颱風,0.31,case,2022_5,,C700,-1,叢生狀竹(clumping)
1.0,竹林,32.51251731617002,0.7452413135250993,0.6667948594698258,0.0006365384615384,-0.0043634615384615,587.0,1057.0637822342553,2022_7,2022.0,285349.84,2734734.36,軒嵐諾暨梅花颱風,0.31,case,2022_7,,C800,B600,單桿狀竹(running)
1.0,竹林,41.99819984310421,-0.0277670672403533,0.9996144206527184,0.0024518118735543,-0.0300481881264456,439.0,1763.8487900613186,2022_111,2022.0,275099.66,2736332.23,1007豪雨、尼莎颱風暨1022豪雨,0.17,case,2022_111,,C800,B600,單桿狀竹(running)
1.0,竹林,27.017123217850244,0.196116135138184,-0.98058067569092,0.0016826923076923,0.0016826923076923,534.0,729.9249469685027,2022_112,2022.0,275781.44,2735448.89,1007豪雨、尼莎颱風暨1022豪雨,0.14,case,2022_112,,C800,-1,單桿狀竹(running)
1.0,竹林,37.247373202381205,-0.9863939238321436,0.1643989873053574,0.0044594594594594,0.0019594594594594,1294.0,1387.3668104774654,2023_496,2023.0,269702.9,2660919.69,卡努颱風,1.12,case,2023_496,,C700,,叢生狀竹(clumping)
1.0,竹林,43.30156320620466,0.3713906763541038,-0.9284766908852592,0.0324137931034482,-0.0150862068965517,1293.0,1875.025376100937,2023_511,2023.0,268953.08,2661809.54,卡努颱風,0.17,case,2023_511,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,37.202544890156695,0.9550641368112373,0.2963992148724529,0.0021583514099783,0.0171583514099783,1085.0,1384.029346304124,2023_524,2023.0,261049.78,2655273.12,卡努颱風,2.79,case,2023_524,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,31.693440803183943,-0.8502651466878618,-0.5263546146162954,0.001967213114754,0.006967213114754,1099.0,1004.4741899449248,2023_598,2023.0,263398.41,2657696.98,卡努颱風,0.05,case,2023_598,,B600,C700,B600
1.0,竹闊混淆林,40.55896658324713,-0.9931506043228762,-0.1168412475673972,0.0360580204778157,-0.0689419795221843,1040.0,1645.0297703009571,2023_673,2023.0,263845.18,2658514.18,卡努颱風,0.08,case,2023_673,,B600,C700,B600
1.0,竹闊混淆林,38.28695056949238,-0.9817798505902814,-0.190021906565861,-0.0004513540621865,0.0120486459378134,1228.0,1465.890583910753,2023_676,2023.0,264162.2,2658494.24,卡努颱風,0.09,case,2023_676,,B600,C700,B600
1.0,竹闊混淆林,39.156783218304696,0.9517086177605508,0.3070027799227584,0.0096182846371347,-0.0028817153628652,1154.0,1533.2536720053083,2023_882,2023.0,260039.99,2649846.47,卡努颱風,0.43,case,2023_882,,B600,C700,B600
1.0,竹闊混淆林,40.9523515915937,0.7489965624903806,-0.6625738822030289,-0.0002095435684647,0.0122904564315352,816.0,1677.0951008815073,2023_965,2023.0,257046.31,2648590.11,卡努颱風,0.2,case,2023_965,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,34.73245644172311,0.9015230574682735,0.4327310675847712,0.0028673602080624,-0.0046326397919375,1050.0,1206.343530476193,2023_1212,2023.0,261434.72,2652584.7,卡努颱風,0.04,case,2023_1212,,C800,B600,單桿狀竹(running)
1.0,竹林,29.54409628156036,0.6616216370868463,-0.7498378553650925,-0.0071279182879377,-0.0071279182879377,1044.0,872.8536250941083,2023_1289,2023.0,264557.48,2652074.99,卡努颱風,0.01,case,2023_1289,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,40.810470609746446,0.9264665771223092,-0.376377046955938,-0.0032229673093042,0.0092770326906957,1079.0,1665.4945113889785,2023_1290,2023.0,264558.59,2651996.84,卡努颱風,0.21,case,2023_1290,,B600,C700,B600
1.0,竹闊混淆林,42.08581058000388,0.08304547985374,-0.9965457582448796,0.0178620689655172,-0.0096379310344827,1102.0,1771.2154521759664,2023_1449,2023.0,264575.82,2651912.05,卡努颱風,0.02,case,2023_1449,,B600,C700,B600
1.0,竹闊混淆林,39.14355704978305,0.1842885350501853,-0.982872186934322,0.0020943396226415,0.0070943396226415,916.0,1532.2180585096205,2023_1483,2023.0,259825.93,2651043.0,卡努颱風,0.32,case,2023_1483,,B600,C700,B600
1.0,竹闊混淆林,34.03756281454756,0.7772448707074856,-0.6291982286679644,0.009945205479452,-0.0050547945205479,980.0,1158.555682354271,2023_1484,2023.0,259830.49,2650939.34,卡努颱風,0.08,case,2023_1484,,B600,C700,B600
1.0,竹林,36.326005581723855,-0.3060091804131207,-0.9520285612852644,0.0086242774566473,-0.0138757225433526,1134.0,1319.5786815234326,2023_1485,2023.0,260436.71,2650926.8,卡努颱風,0.11,case,2023_1485,,C700,-1,叢生狀竹(clumping)
1.0,竹闊混淆林,38.78215347624,-0.0933407086930582,-0.995634226059288,-0.003407550822846,-0.040907550822846,853.0,1504.055428254634,2023_1491,2023.0,259710.52,2651111.17,卡努颱風,0.06,case,2023_1491,,B600,C700,B600
1.0,竹闊混淆林,35.81208696357704,-0.242535625036333,-0.970142500145332,0.0152941176470588,-0.0122058823529411,1026.0,1282.5055726868045,2023_1495,2023.0,259062.08,2650316.31,卡努颱風,0.05,case,2023_1495,,B600,C700,B600
1.0,竹闊混淆林,41.49566207886726,-0.734803444627488,0.6782801027330656,0.0050479233226837,-0.0049520766773162,916.0,1721.8899713635426,2023_1496,2023.0,258974.76,2650634.64,卡努颱風,0.04,case,2023_1496,,B600,C700,B600
1.0,竹闊混淆林,35.29811642184922,0.7415357791237711,0.6709133239691263,-0.0028849750623441,0.0071150249376558,1371.0,1245.9570229304218,2023_1562,2023.0,265301.2,2658547.51,卡努颱風,0.16,case,2023_1562,,C700,B600,叢生狀竹(clumping)
1.0,竹林,33.27369602543111,-0.7619393177594592,-0.6476484200955406,0.0140928882438316,0.0015928882438316,1316.0,1107.13884719279,2023_1580,2023.0,268603.96,2659112.75,卡努颱風,0.04,case,2023_1580,,C700,B600,叢生狀竹(clumping)
1.0,竹林,37.0068193431202,0.0995037190209988,-0.9950371902099892,-0.0079950495049504,0.0445049504950495,1250.0,1369.5046778943354,2023_1581,2023.0,268538.77,2659266.06,卡努颱風,0.05,case,2023_1581,,C700,B600,叢生狀竹(clumping)
1.0,竹林,47.03908938941234,0.9778024140774096,0.2095290887308734,-0.0012560975609756,0.0162439024390243,1333.0,2212.6759305851247,2023_1582,2023.0,264832.51,2658727.54,卡努颱風,0.06,case,2023_1582,,C700,B600,叢生狀竹(clumping)
1.0,竹林,17.183330483447964,0.2425356250363328,0.970142500145332,0.0394117647058823,-0.0480882352941176,1241.0,295.26684650339206,2023_1583,2023.0,264947.54,2658505.6,卡努颱風,0.02,case,2023_1583,,C700,B600,叢生狀竹(clumping)
1.0,竹林,35.95829151209359,0.9994059993535876,0.0344622758397788,-0.0125742280285035,0.0024257719714964,265.0,1292.9987284687018,2023_1933,2023.0,305419.75,2654859.43,杜蘇芮颱風,0.06,case,2023_1933,,C800,B600,單桿狀竹(running)
1.0,竹林,34.09207978094286,0.997267754456709,0.0738716855153117,0.0007230559345156,0.0032230559345156,229.0,1162.269903790173,2023_1934,2023.0,305497.53,2654767.71,杜蘇芮颱風,0.01,case,2023_1934,,C700,B600,叢生狀竹(clumping)
1.0,竹林,26.334247846853145,0.7071067811865476,-0.7071067811865475,0.003125,-0.001875,190.0,693.4926096594893,2023_1935,2023.0,305513.05,2654891.0,杜蘇芮颱風,0.01,case,2023_1935,,C800,B600,單桿狀竹(running)
1.0,竹林,34.01934998982646,1.0,0.0,0.01,-0.0525,374.0,1157.3161737303055,2023_2056,2023.0,240098.95,2660836.07,卡努颱風,0.03,case,2023_2056,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,44.8650800832348,0.97960270064149,0.2009441437213313,0.0354006309148264,-0.0120993690851735,1003.0,2012.875410875072,2023_2059,2023.0,223934.71,2595594.66,卡努颱風,0.17,case,2023_2059,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,17.65096881191823,-0.7071067811865475,0.7071067811865476,-0.0137499999999999,0.01125,365.0,311.55669999931,2024_47,2024.0,216968.19,2582573.98,凱米颱風,0.569606823657,case,2024_47,,C800,B600,單桿狀竹(running)
1.0,竹林,35.94211187138234,-1.0,1.2246467991473532e-16,0.0,0.0175,1205.0,1291.8354057749632,2024_54,2024.0,218129.38,2595659.27,凱米颱風,0.803419271273,case,2024_54,,C800,B600,單桿狀竹(running)
1.0,竹林,35.59853666783391,-0.9079593845004518,0.4190581774617468,-0.0215609756097561,0.0034390243902439,1120.0,1267.2558128911155,2024_67,2024.0,217744.87,2604245.51,凱米颱風,1.09289475285,case,2024_67,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,20.72256515326957,-0.9912279006826348,-0.1321637200910177,-0.0006986899563318,0.0018013100436681,483.0,429.4247065315023,2024_71,2024.0,213438.87,2606041.23,0629豪雨,1.33733690118,case,2024_71,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,46.25042447061119,-0.9333456062030596,-0.3589790793088691,0.0021134020618556,-0.0128865979381443,871.0,2139.10176371171,2024_226,2024.0,206162.72,2565719.28,凱米颱風,0.858314173443,case,2024_226,,B600,C700,B600
1.0,竹林,48.540940845142885,0.9938837346736188,-0.1104315260748465,0.023155487804878,-0.0018445121951219,578.0,2356.2229381316606,2024_248,2024.0,212128.53,2596665.22,凱米颱風,0.638864972003,case,2024_248,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,44.60058682281712,-0.8619342151577696,0.5070201265633937,0.0012789203084832,0.0262789203084832,953.0,1989.212344939648,2024_513,2024.0,206229.39,2565827.42,康芮颱風,0.164855044416,case,2024_513,,B600,C700,B600
1.0,竹林,2.0248682972773406,0.7071067811865476,-0.7071067811865475,-0.0118749999999999,0.008125,854.0,4.100091621318836,2024_533,2024.0,235287.24,2484703.95,山陀兒颱風,0.694585399378,case,2024_533,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,32.005383208083494,-0.5999999999999999,-0.8000000000000002,-0.0098,0.0077,522.0,1024.344554296273,2024_643,2024.0,211473.84,2542488.65,凱米颱風,0.302354166437,case,2024_643,,B600,C700,B600
1.0,竹闊混淆林,36.43626970061044,-0.8804710999221753,-0.4740998230350174,0.0140137614678899,0.0040137614678899,641.0,1327.6017496956222,2024_674,2024.0,217462.87,2574386.07,凱米颱風,0.418408958032,case,2024_674,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,46.5263493090976,-0.0948090926279953,-0.9954954725939522,-0.0104550561797752,-0.0054550561797752,712.0,2164.7011800321666,2024_685,2024.0,219034.42,2585485.01,凱米颱風,0.453856303798,case,2024_685,,B600,C700,B600
1.0,竹林,37.83331466287141,-0.9979253089684582,0.0643822779979652,0.0049896373056994,-0.0025103626943005,1111.0,1431.359698379841,2024_689,2024.0,222335.65,2592395.93,凱米颱風,0.350830940976,case,2024_689,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,31.39687644298045,-0.8192319205190405,0.5734623443633283,-0.0057550335570469,-0.0007550335570469,847.0,985.7638503757806,2024_692,2024.0,216949.26,2596012.9,凱米颱風,0.454037331605,case,2024_692,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,39.22274642672917,-0.6431920864232733,-0.7657048647896111,-0.0197408536585365,0.0102591463414634,434.0,1538.4238372554962,2024_695,2024.0,212592.82,2596231.5,凱米颱風,0.468388503319,case,2024_695,,C800,B600,單桿狀竹(running)
1.0,竹林,47.9744503541902,0.3830150227004329,0.9237421135716324,-0.0048515228426395,0.0101484771573604,1145.0,2301.54788678666,2024_698,2024.0,218579.46,2598377.43,凱米颱風,0.411871292634,case,2024_698,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,38.004957659317206,0.1279713376301967,0.9917778666340252,-0.0104247697031729,-0.0129247697031729,943.0,1444.3768066864936,2024_705,2024.0,218439.46,2606510.53,凱米颱風,0.345440845463,case,2024_705,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,50.38864248079266,0.9103664774626048,0.413802944301184,-0.0029109589041095,-0.0079109589041095,615.0,2539.015291057143,2024_938,2024.0,217101.06,2587628.86,凱米颱風,0.320639366641,case,2024_938,,C700,B600,叢生狀竹(clumping)
1.0,竹林,43.97995668722642,-0.9585363562790536,0.2849702680829619,0.0060050335570469,0.0010050335570469,986.0,1934.236590210312,2024_942,2024.0,224044.64,2595562.88,凱米颱風,0.472978710103,case,2024_942,,C800,B600,單桿狀竹(running)
1.0,竹林,15.436640338110504,0.0905357460425186,0.995893206467704,-0.0077561475409836,-0.0027561475409836,584.0,238.2898649281804,2024_3736,2024.0,241656.24,2708089.86,凱米颱風,0.213914914878,case,2024_3736,,C700,B600,叢生狀竹(clumping)
1.0,竹林,34.66253388314486,0.6507913734559685,0.7592566023652967,0.0143529411764705,-0.0181470588235294,327.0,1201.4912552001656,2024_3754,2024.0,308220.98,2639171.25,凱米颱風,0.57009204361,case,2024_3754,,C800,B600,單桿狀竹(running)
1.0,竹林,19.33554969199933,0.0712470499879096,-0.997458699830735,0.0074365482233502,0.0049365482233502,306.0,373.8634818917752,2024_3761,2024.0,210496.39,2534689.88,凱米颱風,0.219815301347,case,2024_3761,,C700,B600,叢生狀竹(clumping)
1.0,竹林,43.77679566071583,0.9914542955425438,0.1304545125713873,0.0026872021783526,0.0151872021783526,218.0,1916.407838320068,2024_3762,2024.0,210456.17,2534142.4,凱米颱風,0.134160374152,case,2024_3762,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,29.424115787413506,-0.9751328557914596,0.2216211035889682,-0.0048084479371316,-0.0023084479371316,161.0,865.7785898711167,2024_3763,2024.0,213093.17,2525288.7,凱米颱風,0.116664208754,case,2024_3763,,B600,C700,B600
1.0,竹闊混淆林,44.6831922342158,-0.353892097415891,-0.9352862574562836,-0.0007156549520766,-0.0082156549520766,500.0,1996.587668239884,2024_3863,2024.0,237221.12,2633671.61,凱米颱風,0.153828637067,case,2024_3863,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,27.155878281943988,0.682318250360011,0.731055268242869,0.0246140142517814,-0.0078859857482185,209.0,737.4417252637571,2024_3880,2024.0,208913.18,2544999.62,凱米颱風,0.212457577382,case,2024_3880,,B600,C700,B600
1.0,竹闊混淆林,27.93835272960235,-0.9899494936611664,0.1414213562373097,0.001525,0.001525,349.0,780.5515532436791,2024_3886,2024.0,204680.06,2553194.36,凱米颱風,0.129883787738,case,2024_3886,,B600,C700,B600
1.0,竹闊混淆林,36.00673320377918,0.447213595499958,-0.8944271909999159,0.021,-0.0065,248.0,1296.484836008134,2024_3887,2024.0,205154.25,2554897.96,凱米颱風,0.320466653375,case,2024_3887,,B600,C700,B600
1.0,竹闊混淆林,26.39225472997553,-0.6549305384178419,-0.7556890827898176,-0.0034581218274111,0.0165418781725888,578.0,696.5511097319157,2024_3889,2024.0,216429.98,2554621.11,凱米颱風,0.187522913965,case,2024_3889,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,36.19905592632724,0.9906211292434748,0.136637397137031,-0.0172112018669778,0.0002887981330221,666.0,1310.3716499573673,2024_3916,2024.0,213469.64,2571541.01,凱米颱風,0.267195559452,case,2024_3916,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,24.65223572323068,0.8715755371245493,-0.490261239632559,0.0217062314540059,-0.010793768545994,539.0,607.7327261537309,2024_3917,2024.0,214102.56,2570753.25,凱米颱風,0.167898184422,case,2024_3917,,B600,C700,B600
1.0,竹林,39.14355704978305,-0.1842885350501852,-0.982872186934322,0.0058490566037735,-0.0091509433962264,687.0,1532.2180585096205,2024_3919,2024.0,218212.06,2567229.74,凱米颱風,0.236748240346,case,2024_3919,,C800,B600,單桿狀竹(running)
1.0,竹林,30.653673803588863,0.4640069946705576,0.8858315352801553,0.0050200177935943,0.0050200177935943,316.0,939.6477176568304,2024_3927,2024.0,213770.02,2577455.37,凱米颱風,0.440114857833,case,2024_3927,,C800,B600,單桿狀竹(running)
1.0,竹林,47.988906399374976,0.8106792283998809,-0.5854905538443584,-0.0063286004056795,0.0086713995943204,729.0,2302.9351374079724,2024_3928,2024.0,216780.3,2574617.71,凱米颱風,0.373720376607,case,2024_3928,,C700,B600,叢生狀竹(clumping)
1.0,竹林,32.51251731617002,0.196116135138184,-0.98058067569092,0.0051442307692307,-0.0298557692307692,481.0,1057.0637822342553,2024_3929,2024.0,216598.32,2575961.29,凱米颱風,0.109915226577,case,2024_3929,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,41.37023532050225,-0.5677329558036596,0.8232127859153063,-0.0009468170829975,-0.0034468170829975,562.0,1711.4963704737322,2024_3930,2024.0,211044.87,2579287.46,凱米颱風,0.280635168011,case,2024_3930,,B600,C800,B600
1.0,竹闊混淆林,33.33081260166977,-0.1520571842539411,0.9883716976506172,0.0058815028901734,-0.0341184971098265,281.0,1110.9430686876285,2024_3931,2024.0,211347.81,2578806.87,凱米颱風,0.130582311547,case,2024_3931,,B600,C800,B600
1.0,竹闊混淆林,40.36453657309736,-0.4705882352941177,0.8823529411764706,-0.0265397923875432,0.0084602076124567,266.0,1629.2958127609145,2024_3932,2024.0,211648.86,2578448.23,凱米颱風,0.199835865121,case,2024_3932,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,38.61881362583621,-0.9388763158866086,0.3442546491584232,-0.0086581782566111,-0.0111581782566111,305.0,1491.412765867072,2024_3935,2024.0,215767.79,2577955.42,凱米颱風,0.339735027644,case,2024_3935,,B600,C800,B600
1.0,竹林,40.70318870066343,0.813733471206735,0.5812381937190965,-0.0164189189189189,0.008581081081081,308.0,1656.7495704018154,2024_3953,2024.0,209761.16,2580538.78,凱米颱風,0.814527626839,case,2024_3953,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,44.60978861211985,0.9883716976506172,0.1520571842539411,-0.0035115606936416,-0.0010115606936416,550.0,1990.0332400180173,2024_3955,2024.0,210239.68,2582131.42,凱米颱風,0.261099594622,case,2024_3955,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,36.86989764584402,1.0,0.0,0.0,-0.0,487.0,1359.3893524150144,2024_3956,2024.0,210261.75,2583252.66,凱米颱風,0.559533283623,case,2024_3956,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,43.21072161527393,0.904818702200994,-0.4257970363298796,0.0121671388101983,-0.0128328611898017,570.0,1867.1664625127016,2024_3957,2024.0,210131.1,2583150.86,凱米颱風,0.299749316542,case,2024_3957,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,24.22774531795417,6.123233995736766e-17,1.0,-0.005,-0.005,540.0,586.9836431916502,2024_3959,2024.0,207689.77,2581463.78,凱米颱風,0.129888196051,case,2024_3959,,B600,C700,B600
1.0,竹闊混淆林,56.54253020675865,-0.132163720091018,-0.9912279006826348,8.733624454148474e-05,-0.0049126637554585,601.0,3197.057722182214,2024_3969,2024.0,218761.1,2580600.19,凱米颱風,0.679490151418,case,2024_3969,,B600,C700,B600
1.0,竹闊混淆林,38.11835994667712,0.5098023903017329,0.8602915336341742,-0.0065431472081218,0.0009568527918781,1016.0,1453.009365024439,2024_3976,2024.0,220467.58,2585562.03,凱米颱風,0.219839744087,case,2024_3976,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,24.748625315195834,-0.216930457818656,0.9761870601839528,0.0153235294117647,-0.0046764705882352,898.0,612.4944549919521,2024_3977,2024.0,220544.17,2585414.68,凱米颱風,0.189861484495,case,2024_3977,,C700,B600,叢生狀竹(clumping)
1.0,竹闊混淆林,32.51251731617002,0.7452413135250993,0.6667948594698258,0.0047230769230769,-0.005276923076923,667.0,1057.0637822342553,2024_3980,2024.0,211127.36,2586337.58,凱米颱風,0.50427958401,case,2024_3980,,B600,C800,B600
1.0,竹闊混淆林,31.693440803183943,0.3643993485805122,0.9312427797057534,0.0030184426229508,-0.0069815573770491,739.0,1004.4741899449248,2024_3981,2024.0,211925.56,2587356.34,凱米颱風,0.161620606652,case,2024_3981,,B600,C700,B600
1.0,竹闊混淆林,38.71430174309542,0.9980525784828884,0.0623782861551805,-0.0047276264591439,-0.0047276264591439,772.0,1498.797159455441,2024_3983,2024.0,213805.19,2586999.98,凱米颱風,0.23980864187,case,2024_3983,,C800,B600,單桿狀竹(running)
1.0,竹闊混淆林,54.53124894756712,0.997458699830735,-0.0712470499879096,0.0010532994923857,-0.0139467005076142,953.0,2973.65711178154,2024_3984,2024.0,213628.52,2586811.19,凱米颱風,0.139887961795,case,2024_3984,,B600,C800,B600
