case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y
0,闊葉樹林型,39.72788642801746,0.9325680982740896,-0.3609941025577121,0.0077601809954751,-0.0047398190045248,1304.0,1578.304960037454,bg_2,298767.2,2677145.8
0,針闊葉樹混淆,42.52694856602216,0.9539937169012556,0.2998265967403946,-0.0082150817236255,0.0067849182763744,1602.0,1808.5413543370944,bg_7,281276.7,2627077.8
0,針葉樹林型,36.1352033247489,0.6163082616581107,0.7875050010075858,-0.0009261430246189,0.001573856975381,2387.0,1305.752919320944,bg_10,312775.5,2685293.0
0,闊葉樹林型,21.80140948635181,1.0,0.0,-0.005,-0.0,653.0,475.3014555915908,bg_11,218730.6,2479082.2
0,闊葉樹林型,17.393118144442386,-0.4788521306805731,-0.8778955729143845,-0.0117834394904458,0.0107165605095541,1225.0,302.52055878653096,bg_15,313039.9,2697298.1
0,竹闊混淆林,23.132182561931256,0.3511234415883917,0.9363291775690444,0.0010273972602739,-0.003972602739726,344.0,535.0978700785165,bg_17,226463.9,2629775.4
0,闊葉樹林型,55.00671797528064,0.5425254314756646,0.840039377768771,-0.0072067381316998,0.0152932618683001,422.0,3025.739022412062,bg_24,278408.3,2558636.2
0,闊葉樹林型,32.005383208083494,1.0,0.0,-0.01,-0.0075,2289.0,1024.344554296273,bg_25,224776.6,2499612.7
0,針葉樹林型,40.91700476339015,0.8364611295797534,-0.5480262573108728,0.0042793261231281,-0.0057206738768718,2700.0,1674.2012788072925,bg_27,280903.1,2651469.8
0,針闊葉樹混淆,53.5740778949285,0.8671055424707688,-0.498124460568314,-0.0097630190605854,0.0252369809394145,1577.0,2870.1818222918664,bg_31,262503.8,2680153.4
0,闊葉樹林型,41.18592516570965,0.7999999999999999,-0.6000000000000001,0.0131999999999999,-0.0042999999999999,1306.0,1696.2804317554353,bg_32,320256.1,2714880.0
0,竹闊混淆林,21.211450322740603,-0.2576626505603323,0.9662349396012464,0.0023236514522821,0.0048236514522821,601.0,449.92562479409247,bg_34,213721.5,2521741.5
0,闊葉樹林型,37.83331466287141,0.0643822779979651,-0.9979253089684582,-0.0104300518134715,-0.0029300518134715,739.0,1431.359698379841,bg_37,282398.6,2570340.1
0,闊葉樹林型,31.05129356595241,-0.0830454798537399,-0.9965457582448796,0.0046206896551724,-0.0103793103448275,927.0,964.1828321189575,bg_42,230678.9,2503341.9
0,闊葉樹林型,29.424115787413506,0.2216211035889682,-0.9751328557914596,0.0148330058939096,-0.0026669941060903,480.0,865.7785898711167,bg_51,287705.5,2624048.7
