case,ft,slope,north,east,planc,profc,elev,slope2,bg_lid,x,y,old_scar,d_debris,d_road,d_river,in_largels
0,闊葉樹林型,39.72788642801746,0.9325680982740896,-0.3609941025577121,0.0077601809954751,-0.0047398190045248,1304.0,1578.304960037454,bg_2,298767.2,2677145.8,False,969.782070716894,359.4936105703988,985.0378848743409,False
0,針闊葉樹混淆,42.52694856602216,0.9539937169012556,0.2998265967403946,-0.0082150817236255,0.0067849182763744,1602.0,1808.5413543370944,bg_7,281276.7,2627077.8,False,8607.502651745217,11871.184121468124,2714.4319590802197,False
0,針葉樹林型,36.1352033247489,0.6163082616581107,0.7875050010075858,-0.0009261430246189,0.001573856975381,2387.0,1305.752919320944,bg_10,312775.5,2685293.0,False,6231.3490161891605,8711.963645286844,3831.9156705493156,False
0,闊葉樹林型,21.80140948635181,1.0,0.0,-0.005,-0.0,653.0,475.3014555915908,bg_11,218730.6,2479082.2,False,4771.246432966876,10287.084905685626,1100.5403217698877,False
0,闊葉樹林型,17.393118144442386,-0.4788521306805731,-0.8778955729143845,-0.0117834394904458,0.0107165605095541,1225.0,302.52055878653096,bg_15,313039.9,2697298.1,False,10094.69327756848,13764.327852701144,844.7110187337767,False
0,竹闊混淆林,23.132182561931256,0.3511234415883917,0.9363291775690444,0.0010273972602739,-0.003972602739726,344.0,535.0978700785165,bg_17,226463.9,2629775.4,False,2250.929862530643,4930.04158683758,1011.8647943817496,False
0,闊葉樹林型,55.00671797528064,0.5425254314756646,0.840039377768771,-0.0072067381316998,0.0152932618683001,422.0,3025.739022412062,bg_24,278408.3,2558636.2,False,607.3594428881318,182.36573351255842,160.2651572589202,False
0,闊葉樹林型,32.005383208083494,1.0,0.0,-0.01,-0.0075,2289.0,1024.344554296273,bg_25,224776.6,2499612.7,False,8466.101075390578,14683.439491893861,5016.65705230587,False
0,針葉樹林型,40.91700476339015,0.8364611295797534,-0.5480262573108728,0.0042793261231281,-0.0057206738768718,2700.0,1674.2012788072925,bg_27,280903.1,2651469.8,False,6826.161675391128,11914.571779483462,4985.0474707367885,False
0,針闊葉樹混淆,53.5740778949285,0.8671055424707688,-0.498124460568314,-0.0097630190605854,0.0252369809394145,1577.0,2870.1818222918664,bg_31,262503.8,2680153.4,False,3032.7070026911238,691.050629884634,1286.181759874334,False
0,闊葉樹林型,41.18592516570965,0.7999999999999999,-0.6000000000000001,0.0131999999999999,-0.0042999999999999,1306.0,1696.2804317554353,bg_32,320256.1,2714880.0,False,5550.555436229915,12512.797002308556,2298.0070539680014,False
