uid,NDVI,NDMI,NBR,n_obs
bg_2,0.8661770224571228,0.3662134408950805,0.666287899017334,223.0
bg_11,0.8340935707092285,0.3309537172317505,0.6387805938720703,385.0
bg_15,0.8557285070419312,0.3526381850242615,0.6740566492080688,345.0
bg_24,0.8225961923599243,0.2579372525215149,0.561069905757904,167.0
bg_25,0.8383798003196716,0.3625465035438537,0.6548610329627991,265.0
bg_32,0.763866126537323,0.2550011277198791,0.5122973322868347,74.0
bg_37,0.8131767511367798,0.3109020292758941,0.6189637184143066,156.0
bg_42,0.8467609882354736,0.3044916093349457,0.616665244102478,278.0
bg_51,0.8605133295059204,0.3274465203285217,0.6325880885124207,138.0
bg_60,0.8338963985443115,0.316969096660614,0.6304267644882202,168.0
bg_70,0.8062105178833008,0.2478727102279663,0.552675724029541,382.0
bg_72,0.8626402616500854,0.3663037717342376,0.6741783618927002,261.0
bg_76,0.757723867893219,0.1665870696306228,0.4626526534557342,504.0
bg_77,0.8300548195838928,0.3463614583015442,0.6498450636863708,528.0
bg_89,0.869184136390686,0.3417293429374695,0.6624007821083069,713.0
bg_90,0.8262576460838318,0.2733741402626037,0.5915672183036804,230.0
bg_106,0.7044777274131775,0.0870053619146347,0.3618403971195221,528.0
bg_111,0.8945168852806091,0.2714304029941559,0.5913577079772949,515.0
bg_116,0.3362668752670288,0.1084738373756408,0.3435566127300262,259.0
bg_119,0.8691083788871765,0.2834421992301941,0.556685745716095,230.0
bg_120,0.8026914596557617,0.287524402141571,0.5877619981765747,351.0
bg_131,0.8536403179168701,0.3462699353694916,0.6386139392852783,343.0
bg_132,0.8416767120361328,0.2948432564735412,0.6114373207092285,99.0
bg_144,0.826050341129303,0.3108757734298706,0.6191175580024719,414.0
bg_154,0.817837655544281,0.2716201841831207,0.5828852653503418,116.0
bg_157,0.86939537525177,0.323156863451004,0.6349760890007019,175.0
bg_158,0.8105431199073792,0.2519105076789856,0.5723126530647278,483.0
bg_161,0.8537771701812744,0.3571660816669464,0.6540131568908691,153.0
bg_164,0.8192293643951416,0.297156810760498,0.6236908435821533,117.0
bg_167,0.7084378004074097,0.2264627069234848,0.4717412292957306,160.0
bg_169,0.8645768761634827,0.3428921401500702,0.6581810116767883,452.0
bg_185,0.8651059865951538,0.3066662847995758,0.6152396202087402,931.0
bg_186,0.7630875110626221,0.2242613732814788,0.5447311401367188,218.0
bg_187,0.85799241065979,0.3672118484973907,0.6503728628158569,408.0
bg_198,0.8380957841873169,0.1974642276763916,0.5332797765731812,468.0
bg_199,0.8573743104934692,0.3455772697925567,0.6347989439964294,305.0
bg_204,0.813694179058075,0.2604890763759613,0.5442017316818237,190.0
bg_205,0.8653432130813599,0.3671358823776245,0.6849421858787537,150.0
bg_210,0.8340800404548645,0.2683531939983368,0.5723005533218384,490.0
bg_212,0.8616921305656433,0.35114386677742,0.6492120623588562,97.0
bg_223,0.8232384324073792,0.3107985556125641,0.6035916209220886,140.0
bg_226,0.7787414193153381,0.2982566952705383,0.5842238664627075,261.0
bg_228,0.8589889407157898,0.4123559296131134,0.697642982006073,182.0
bg_235,0.869408369064331,0.2793488204479217,0.5997002720832825,345.0
bg_239,0.7605656385421753,0.233600303530693,0.5222367644309998,80.0
bg_244,0.8297555446624756,0.255493700504303,0.5760810375213623,535.0
bg_248,0.8494344353675842,0.3344550132751465,0.6390610337257385,325.0
bg_255,0.6580561399459839,0.0954257994890213,0.3641115427017212,447.0
bg_257,0.8015186786651611,0.3322344720363617,0.6277900338172913,112.0
bg_261,0.825890302658081,0.3518098592758178,0.647679328918457,256.0
bg_267,0.8191202878952026,0.2729583978652954,0.5883777737617493,155.0
bg_270,0.7812966108322144,0.2466708868741989,0.5095908045768738,120.0
bg_275,0.7541160583496094,0.1758624017238617,0.4842689633369446,148.0
