uid,NDVI,NDMI,NBR,n_obs,before
bg_25586,0.8925831317901611,0.303849309682846,0.6214564442634583,3.0,2018-07-30
bg_26793,,,,,2018-07-30
bg_27502,0.5087814331054688,-0.1675402224063873,0.053432572633028,2.0,2018-07-30
bg_27600,0.8854942321777344,0.3627760112285614,0.6721311211585999,1.0,2018-07-30
bg_27624,0.8471440076828003,0.2587719261646271,0.5764994025230408,3.0,2018-07-30
bg_28987,0.8877455592155457,0.3629428744316101,0.6722129583358765,3.0,2018-07-30
bg_29027,0.8485260605812073,0.3289859592914581,0.6310524344444275,3.0,2018-07-30
bg_29352,0.5559150576591492,0.0222309846431016,0.2837286293506622,2.0,2018-07-30
bg_29855,0.7306802272796631,0.3307240903377533,0.6306954622268677,3.0,2018-07-30
bg_31233,0.8714946508407593,0.3284625113010406,0.659932553768158,2.0,2018-07-30
bg_31633,0.8580324053764343,0.2928943037986755,0.6355165839195251,1.0,2018-07-30
bg_32841,0.7682750821113586,0.1519050151109695,0.4143748581409454,3.0,2018-07-30
bg_33175,0.8763832449913025,0.3504273593425751,0.6735676527023315,1.0,2018-07-30
bg_35138,0.8112772703170776,0.1677508950233459,0.4851045310497284,2.0,2018-07-30
bg_35180,0.7879282236099243,0.1464435011148452,0.4613558650016784,3.0,2018-07-30
bg_35226,0.8938072323799133,0.3694105446338653,0.6904998421669006,2.0,2018-07-30
bg_35878,0.8384268879890442,0.3074979186058044,0.6146483421325684,1.0,2018-07-30
bg_35962,0.7804659008979797,0.3147780299186706,0.5151336789131165,2.0,2018-07-30
bg_36450,0.8854886293411255,0.3324032127857208,0.6558300852775574,1.0,2018-07-30
bg_37127,,,,,2018-07-30
bg_37702,0.8791238069534302,0.3671275079250335,0.7123616933822632,1.0,2018-07-30
bg_38252,0.871921181678772,0.2296257019042968,0.5576225519180298,3.0,2018-07-30
bg_38558,0.8513088822364807,0.3120593428611755,0.5995174646377563,1.0,2018-07-30
bg_38690,,,,,2018-07-30
bg_39093,0.8787878751754761,0.3793554902076721,0.6736800670623779,1.0,2018-07-30
bg_39465,,,,,2018-07-30
bg_39737,0.8801937103271484,0.3185349702835083,0.6526779532432556,3.0,2018-07-30
bg_40176,0.7951030731201172,0.2626331448554992,0.5678109526634216,3.0,2018-07-30
bg_40223,,,,,2018-07-30
bg_40770,0.6884502172470093,0.1948694586753845,0.4535797536373138,2.0,2018-07-30
bg_41001,0.8839048147201538,0.2861907482147217,0.6071509122848511,2.0,2018-07-30
bg_41034,0.5961538553237915,0.2138939499855041,0.4932533502578735,3.0,2018-07-30
bg_43818,0.3722627460956573,0.0318331345915794,0.1775759309530258,1.0,2018-07-30
bg_44681,0.7696737051010132,0.1670886278152465,0.4392195343971252,3.0,2018-07-30
